Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,1000
1,48,2,2,1000
2,97,2,2,1000
3,147,2,2,1000
4,196,2,2,1000
5,246,2,2,1000
6,295,2,2,1000
7,344,2,2,1000
8,394,2,2,1000
9,443,2,2,1000
10,492,2,2,1000
11,541,2,3,1000
12,591,2,2,1000
13,640,2,2,1000
14,690,2,2,1000
15,739,2,2,1000
16,788,2,2,1000
